"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.855696583E0	-4.910535559E-1	-1.913600725E-1	-7.752302831E-1	9.374082697E-1
1.865737583E0	-1.058004702E0	-2.513922662E-1	-6.933885598E-1	1.289713036E0
1.875779583E0	-1.372848175E0	-1.417107797E-1	-6.193370819E-1	1.512736751E0
1.885820583E0	-1.687163937E0	-9.842091858E-2	2.156488216E-1	1.703735085E0
1.895861583E0	-1.789863409E0	-1.263413733E-1	1.448103302E0	2.305770227E0
1.905902583E0	-1.557161475E0	-4.146248925E-1	3.040831051E0	3.441412377E0
1.915943583E0	-9.727592412E-1	-6.232821983E-1	4.146387504E0	4.304331606E0
1.925984583E0	-6.120432286E-1	-5.520075631E-1	3.787491254E0	3.876131998E0
1.936025583E0	-5.230870518E-1	-5.536371821E-1	2.450934116E0	2.566556493E0
1.946066583E0	-4.433103092E-4	-6.242206764E-1	-2.552701396E-1	6.743993576E-1
1.956107583E0	4.450122510E-1	-2.394534212E-1	-2.402558346E0	2.455129417E0
1.966149583E0	-4.926858427E-2	2.754880571E-1	-2.475792384E0	2.491559550E0
1.976190583E0	-1.012456427E0	7.235613620E-1	-1.507455757E0	1.954745999E0
1.986231583E0	-2.035283183E0	8.163169134E-1	-4.264625806E-1	2.233969846E0
1.996272583E0	-1.724595034E0	5.731429088E-1	6.790587884E-1	1.940062283E0
2.006313583E0	1.833452026E-1	-2.010705435E-1	2.556547987E0	2.570988610E0
2.016354542E0	1.497932251E0	1.683869469E-1	3.951275565E0	4.229034616E0
2.026395542E0	1.730770278E0	2.027112722E-1	3.721872338E0	4.109621798E0
2.036436542E0	1.608480587E0	-7.523536366E-1	2.406512526E0	2.990743775E0
2.046478542E0	9.398611249E-1	-1.373676433E0	1.128886843E0	2.011146782E0
2.056519542E0	-4.254632366E-2	-1.728615287E0	-9.422788024E-2	1.731704332E0
2.066560542E0	-3.526033664E-1	-1.779871979E0	-1.268028356E0	2.213632605E0
2.076601542E0	1.317987259E-1	-1.243739607E0	-1.887665692E0	2.264407401E0
2.086642542E0	6.466755925E-1	-4.537088513E-1	-1.838069024E0	2.000634595E0
2.096683542E0	6.148775567E-1	8.871395588E-2	-1.383538639E0	1.516615885E0
2.106724542E0	3.638488777E-1	3.580191672E-2	-1.077515837E0	1.137852434E0
2.116765542E0	2.729990802E-1	-4.470219755E-1	-7.764517665E-1	9.366079703E-1
2.126807542E0	3.036096561E-1	-8.129927713E-1	-6.152522171E-1	1.063800432E0
2.136848542E0	4.949737120E-1	-8.279938030E-1	-5.589841685E-1	1.114915250E0
2.146889542E0	7.044742960E-1	-6.709674114E-1	-6.007517070E-1	1.143408901E0
2.156930542E0	1.066055733E0	-5.563345027E-1	-3.284147143E-1	1.246530838E0
2.166971542E0	1.538060961E0	-4.515149760E-1	3.815664893E-1	1.647753100E0
2.177012542E0	9.704702756E-1	1.840001822E-2	9.159069827E-1	1.334554876E0
2.187053542E0	-2.495532803E-1	7.059431165E-1	1.602228305E0	1.768549707E0
2.197094542E0	-5.293402469E-1	1.133124905E0	1.549778196E0	1.991478246E0
2.207135542E0	-3.598693724E-1	1.082863993E0	1.135149503E0	1.609554220E0
2.217177542E0	-1.809019253E-1	4.987464452E-1	8.800299293E-1	1.027582697E0
2.227218542E0	4.246759638E-3	-3.534922528E-1	1.118549258E0	1.173084502E0
2.237259542E0	4.318929263E-1	-9.739198405E-1	1.649590460E0	1.963720968E0
2.247300542E0	1.558019847E-2	-1.410743687E0	2.459582440E0	2.835486955E0
2.257341542E0	-3.546749253E-1	-1.591621456E0	3.254395048E0	3.640074215E0
2.267382542E0	-3.172247881E-1	-1.119397396E0	3.119097787E0	3.329031857E0
2.277423542E0	1.010571358E-1	-6.088150173E-1	2.744190107E0	2.812729566E0
2.287464542E0	4.774344405E-1	-5.728809536E-2	2.315611419E0	2.365012012E0
2.297506542E0	2.130454658E0	1.028884252E0	1.247348508E-1	2.369176784E0
2.307547542E0	2.346161805E0	1.859984681E0	-1.135498874E0	3.202089306E0
2.317588542E0	1.121596973E0	2.496823064E0	-2.201258300E0	3.512498154E0
2.327629542E0	3.965369694E-1	2.240665902E0	-3.980682967E0	4.585156719E0
2.337670542E0	-3.311962348E-1	1.424471780E0	-5.285105270E0	5.483716670E0
2.347711542E0	-5.617765063E-1	7.719342077E-1	-5.533939379E0	5.615688766E0
2.357752542E0	-2.637831008E-1	6.007838666E-2	-4.156554058E0	4.165349033E0
2.367793542E0	3.376767039E-1	-2.220550311E-1	-2.284151060E0	2.319629293E0
2.377834542E0	1.037387858E0	-1.817911041E-1	-1.404918691E0	1.755852528E0
2.387876542E0	1.626122952E0	-3.670408362E-1	-9.436406189E-1	1.915581491E0
2.397917542E0	2.046128160E0	-3.903712267E-1	-6.460652894E-1	2.180924231E0
2.407958542E0	2.205266274E0	7.708033562E-2	-1.212731237E0	2.517907419E0
2.417999542E0	2.104349471E0	7.458415926E-1	-2.821279213E0	3.597802493E0
2.428040542E0	1.500566275E0	1.019976019E0	-3.838268475E0	4.245509994E0
2.438081542E0	1.020263702E0	8.843124300E-1	-4.832496865E0	5.017566387E0
2.448122542E0	1.225714687E0	6.774069500E-1	-6.306813819E0	6.460430111E0
2.458163542E0	1.550281349E0	3.386298001E-1	-7.579664959E0	7.743988849E0
2.468204542E0	1.524546584E0	-2.339938760E-1	-8.168560851E0	8.312904534E0
2.478246542E0	1.804659788E0	-1.091764040E0	-7.424505583E0	7.718291833E0
2.488287542E0	2.138025340E0	-1.929988132E0	-5.627904135E0	6.322128716E0
2.498328542E0	2.070090488E0	-2.735297661E0	-3.239043476E0	4.717894718E0
2.508369542E0	2.354737478E0	-3.199788778E0	1.596634859E0	4.281667863E0
2.518410542E0	1.942942638E0	-2.603188595E0	4.798618097E0	5.794683132E0
2.528451542E0	7.293547833E-1	-1.970157334E0	5.788013179E0	6.157481212E0
2.538492542E0	-5.534487556E-1	-1.480803856E0	5.805531437E0	6.016916224E0
2.548533542E0	-8.477535912E-1	-7.622032714E-1	3.925691366E0	4.087871411E0
2.558575542E0	-5.136664199E-1	-2.155377245E-1	1.107494220E0	1.239698813E0
2.568616542E0	-9.628390744E-3	2.412724900E-1	-1.345942504E0	1.367430563E0
2.578657542E0	-1.137254208E-2	4.056488317E-1	-2.195841147E0	2.233024552E0
2.588698542E0	-3.843103684E-1	1.748680007E-1	-1.243413332E0	1.313145076E0
2.598739542E0	-3.748038555E-1	-3.110976005E-1	4.981406736E-1	6.967092492E-1
2.608780542E0	-2.273392695E-1	-7.658297145E-1	2.433721667E0	2.561479933E0
2.618821542E0	-3.075812311E-1	-7.822896266E-1	2.912979927E0	3.031836956E0
2.628862542E0	-1.157158861E-1	-1.153590159E0	2.671210424E0	2.911962491E0
2.638903542E0	1.435218085E-1	-1.826415524E0	2.534915920E0	3.127649420E0
2.648945542E0	8.296658143E-2	-1.845259345E0	1.866797857E0	2.626175878E0
2.658986542E0	5.554323504E-1	-1.700483748E0	1.429142536E0	2.289672129E0
2.669027542E0	6.438773344E-1	-1.175618960E0	2.139943519E0	2.525077469E0
2.679068542E0	9.534440607E-2	-5.590689531E-1	2.536415146E0	2.599047988E0
2.689109542E0	-2.091584122E-1	-7.978525758E-3	2.353451675E0	2.362741138E0
2.699150542E0	-4.165424868E-1	1.553347921E-1	1.885649280E0	1.937346058E0
2.709191542E0	-2.403727497E-1	-1.622231045E-1	1.202740100E0	1.237206184E0
2.719232542E0	-3.591813013E-2	-2.980007145E-1	1.248378203E0	1.283955870E0
2.729274542E0	-1.008157919E-1	-2.176441839E-1	1.472299080E0	1.491709555E0
2.739315542E0	-4.891956031E-2	-1.649303654E-1	1.592013804E0	1.601281706E0
2.749356542E0	-1.823366493E-2	3.073764324E-2	1.741020740E0	1.741387517E0
2.759397542E0	-1.040940334E-1	1.560507837E-1	1.529100688E0	1.540563640E0
2.769438542E0	4.878944515E-1	3.312260556E-1	1.669030405E0	1.770145245E0
2.779479542E0	9.372542900E-1	6.163851151E-1	2.277128554E0	2.538442567E0
2.789520542E0	1.066139056E0	7.877713913E-1	3.118681465E0	3.388718096E0
