"Time (s)"	"Acceleration (m/s²)"
2.927180250E1	-2.126223028E-2
2.931195350E1	1.346555293E-2
2.935210450E1	-4.086385131E-2
2.939225550E1	-1.643652320E-3
2.943240650E1	-2.603648186E-2
2.947255850E1	-1.691014767E-2
2.951270950E1	-1.840995848E-2
2.955286050E1	-2.259948850E-2
2.959301150E1	-1.779483140E-2
2.963316250E1	-2.124001086E-2
2.967331450E1	-4.877805769E-2
2.971346550E1	-1.510160387E-2
2.975361650E1	-2.961907089E-2
2.979376750E1	-2.814264894E-3
2.983391950E1	-4.727532327E-2
2.987407050E1	-2.797483385E-2
2.991422150E1	-2.826836407E-2
2.995437250E1	-2.273689806E-2
2.999452350E1	-3.620654404E-2
3.003467550E1	-9.850804210E-3
3.007482650E1	-2.481207490E-2
3.011497750E1	-2.376191497E-2
3.015512850E1	-3.841971517E-2
3.019527950E1	-6.242487431E-3
3.023543150E1	-2.885016203E-2
3.027558250E1	-2.525704801E-2
3.031573350E1	-2.241413176E-2
3.035588450E1	-2.212527931E-2
3.039603650E1	-1.988871932E-2
3.043618750E1	-3.725144148E-2
3.047633850E1	-3.665268660E-2
3.051648950E1	-2.556928933E-2
3.055664050E1	-2.318011701E-2
3.059679250E1	-1.523901343E-2
3.063694350E1	-1.643944681E-2
3.067709450E1	-2.077808082E-2
3.071724550E1	-1.165408552E-2
3.075739750E1	-1.704229474E-2
3.079754850E1	-1.958115578E-2
3.083769950E1	-2.781754375E-2
3.087785050E1	-3.575104594E-2
3.091800150E1	-6.858783960E-3
3.095815400E1	-2.168030620E-2
3.099830500E1	-2.557455182E-2
3.103845600E1	-2.123357892E-2
3.107860700E1	-2.828181267E-2
3.111875800E1	-2.049098253E-2
3.115891000E1	-1.659205914E-2
3.119906100E1	-1.733640969E-2
